#wvl a b c rmse
347.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
352.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
357.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
362.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
367.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
372.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
377.0000000 0.026021330076 10.545948033944 0.000009645167 0.000080328701
382.0000000 0.025554138867 10.248999488889 0.000009609944 0.000079698330
387.0000000 0.024428086567 9.063267943905 0.000009527816 0.000078136644
392.0000000 0.023360561131 7.738175873972 0.000009454108 0.000076595228
397.0000000 0.022349853777 6.915057548144 0.000009388757 0.000075073990
402.0000000 0.021394255723 6.221873876007 0.000009331701 0.000073572834
407.0000000 0.020492058186 5.247054606704 0.000009282877 0.000072091666
412.0000000 0.019641552384 4.400003511765 0.000009242222 0.000070630394
417.0000000 0.018841029535 3.626489385191 0.000009209673 0.000069188922
422.0000000 0.015960850488 3.111384299815 0.000164288817 0.000044427657
427.0000000 0.015059397984 2.763180588202 0.000193590205 0.000025150362
432.0000000 0.014430725571 2.583672333305 0.000032447407 0.000037778440
437.0000000 0.013887569628 2.380130659271 0.000046672686 0.000007592000
442.0000000 0.013306444614 2.204457862347 -0.000008241135 0.000015088695
447.0000000 0.012955750264 2.080899244623 0.000000727212 0.000025319478
452.0000000 0.012732540372 1.988723203216 0.000051761702 0.000015456620
457.0000000 0.012366124337 1.855082179429 0.000127053185 0.000011897612
462.0000000 0.012070265454 1.786336324581 0.000061372332 0.000022035738
467.0000000 0.012018551319 1.796471750118 -0.000013300193 0.000019733044
472.0000000 0.012021650232 1.783979432941 0.000027488523 0.000011962834
477.0000000 0.012007596826 1.774548484698 0.000032486351 0.000012565572
482.0000000 0.012183442121 1.845958059910 -0.000005925457 0.000019965758
488.0000000 0.012664838581 1.998501126218 0.000001275783 0.000009824187
493.0000000 0.012989456882 2.099501934062 -0.000000365660 0.000027585327
498.0000000 0.013108364366 2.127898042501 0.000000188890 0.000021958969
